Dataset,method,Experiment,Accuracy
6_chess,dynamic,24,0.2210 ± 0.0000
6_chess,dynamic,25,0.2160 ± 0.0000
6_chess,dynamic,26,0.2142 ± 0.0000
6_chess,dynamic,27,0.2139 ± 0.0000
6_chess,dynamic,28,0.2133 ± 0.0000
6_chess,dynamic,29,0.2098 ± 0.0000
6_chess,dynamic,30,0.2055 ± 0.0000
6_chess,knn,1,0.0497 ± 0.0000
6_chess,knn,2,0.0481 ± 0.0000
6_chess,knn,3,0.0481 ± 0.0000
6_chess,knn,4,0.0529 ± 0.0000
6_chess,knn,5,0.0554 ± 0.0000
6_chess,knn,6,0.0535 ± 0.0000
6_chess,knn,7,0.0519 ± 0.0000
6_chess,knn,8,0.0479 ± 0.0000
6_chess,knn,9,0.0447 ± 0.0000
6_chess,knn,10,0.0510 ± 0.0000
6_chess,knn,11,0.0538 ± 0.0000
6_chess,knn,12,0.0536 ± 0.0000
6_chess,knn,13,0.0515 ± 0.0000
6_chess,knn,14,0.0590 ± 0.0000
6_chess,knn,15,0.0510 ± 0.0000
6_chess,knn,16,0.0487 ± 0.0000
6_chess,knn,17,0.0560 ± 0.0000
6_chess,knn,18,0.0504 ± 0.0000
6_chess,knn,19,0.0535 ± 0.0000
6_chess,knn,20,0.0561 ± 0.0000
6_chess,knn,21,0.0494 ± 0.0000
6_chess,knn,22,0.0497 ± 0.0000
6_chess,knn,23,0.0554 ± 0.0000
6_chess,knn,24,0.0513 ± 0.0000
6_chess,knn,25,0.0542 ± 0.0000
6_chess,knn,26,0.0503 ± 0.0000
6_chess,knn,27,0.0474 ± 0.0000
6_chess,knn,28,0.0544 ± 0.0000
6_chess,knn,29,0.0519 ± 0.0000
6_chess,knn,30,0.0524 ± 0.0000
6_chess,zero,1,0.0497 ± 0.0000
6_chess,zero,2,0.0481 ± 0.0000
6_chess,zero,3,0.0481 ± 0.0000
6_chess,zero,4,0.0529 ± 0.0000
6_chess,zero,5,0.0554 ± 0.0000
6_chess,zero,6,0.0535 ± 0.0000
6_chess,zero,7,0.0519 ± 0.0000
6_chess,zero,8,0.0479 ± 0.0000
6_chess,zero,9,0.0447 ± 0.0000
6_chess,zero,10,0.0510 ± 0.0000
6_chess,zero,11,0.0538 ± 0.0000
6_chess,zero,12,0.0536 ± 0.0000
6_chess,zero,13,0.0515 ± 0.0000
6_chess,zero,14,0.0590 ± 0.0000
6_chess,zero,15,0.0510 ± 0.0000
6_chess,zero,16,0.0487 ± 0.0000
6_chess,zero,17,0.0560 ± 0.0000
6_chess,zero,18,0.0504 ± 0.0000
6_chess,zero,19,0.0535 ± 0.0000
6_chess,zero,20,0.0561 ± 0.0000
6_chess,zero,21,0.0494 ± 0.0000
6_chess,zero,22,0.0497 ± 0.0000
6_chess,zero,23,0.0554 ± 0.0000
6_chess,zero,24,0.0513 ± 0.0000
6_chess,zero,25,0.0542 ± 0.0000
6_chess,zero,26,0.0503 ± 0.0000
6_chess,zero,27,0.0474 ± 0.0000
6_chess,zero,28,0.0544 ± 0.0000
6_chess,zero,29,0.0519 ± 0.0000
6_chess,zero,30,0.0524 ± 0.0000
